Date,BNF Straddle_gross_PnL,Brokerage,TransactionCharges,ClearingCharges,STT,GST,SEBI,StampDuty,TotalCharges,net_PNL,net_rets,Time,PNL,cum_pnl,month,Date
2021-06-16,-2516.7589862802,80,10.96,6.57,4.6,17.56,0.04,1.31,121.05,-2637.8089862802,-0.8792696621,2021-06-16,-2516.7589862802,220969.368641413,"Jun,2021",2021-06-16
2021-06-17,-1257.8244707009,80,7.79,4.67,3.27,16.64,0.03,0.93,113.34,-1371.1644707009,-0.4570548236,2021-06-17,-1257.8244707009,219711.544170712,"Jun,2021",2021-06-17
2021-06-18,918.5038885044,80,20,12,8.4,20.16,0.08,2.4,143.05,775.4538885044,0.2584846295,2021-06-18,918.5038885044,220630.048059217,"Jun,2021",2021-06-18
2021-06-21,4917.098270034,80,19.33,11.6,8.12,19.97,0.08,2.32,141.4,4775.698270034,1.5918994233,2021-06-21,4917.098270034,225547.146329251,"Jun,2021",2021-06-21
2021-06-22,3231.7648290708,80,13.3,7.98,5.58,18.23,0.05,1.6,126.74,3105.0248290708,1.0350082764,2021-06-22,3231.7648290708,228778.911158322,"Jun,2021",2021-06-22
2021-06-23,2251.9163147265,80,11.11,6.67,4.67,17.6,0.04,1.33,121.42,2130.4963147265,0.7101654382,2021-06-23,2251.9163147265,231030.827473048,"Jun,2021",2021-06-23
2021-06-24,2681.3157931924,80,7.02,4.21,2.95,16.42,0.03,0.84,111.48,2569.8357931924,0.8566119311,2021-06-24,2681.3157931924,233712.143266241,"Jun,2021",2021-06-24
2021-06-25,2413.7784909774,80,19.16,11.5,8.05,19.92,0.08,2.3,141.01,2272.7684909774,0.757589497,2021-06-25,2413.7784909774,236125.921757218,"Jun,2021",2021-06-25
2021-06-28,286.6906410537,80,15.03,9.02,6.31,18.73,0.06,1.8,130.95,155.7406410537,0.051913547,2021-06-28,286.6906410537,236412.612398272,"Jun,2021",2021-06-28
2021-06-29,2470.4152463061,80,13.53,8.12,5.68,18.3,0.05,1.62,127.32,2343.0952463061,0.7810317488,2021-06-29,2470.4152463061,238883.027644578,"Jun,2021",2021-06-29
